TotalDisplacement 4672689
MaxDisplacement 346
NumCells 210904
c16284 1433 4335
c151224 1428 5811
c209886 1419 5367
c13594 1411 5487
c151088 1417 5679
c14387 1434 4899
c16817 1397 5391
c16030 1362 5091
c18152 1434 4539
c203251 1434 3507
c17098 1411 5175
c162119 1407 10767
c151062 1402 5451
c15877 1401 4959
c14671 1411 4047
c16252 1418 4263
c17051 1422 5175
c209899 1435 5751
c16695 1389 5223
c151226 1427 5667
c16509 1434 5367
c14661 1420 4443
c151003 1423 5535
c16355 1432 5355
c151046 1417 5451
c160663 1436 10947
c16488 1436 5067
c14312 1401 5223
c18151 1421 4635
c17666 1411 4239
c16266 1425 4227
c151234 1424 5739
c15999 1437 4731
c15525 1424 4575
c128688 1405 6675
c17099 1392 5211
c161742 1419 10623
c16969 1428 5283
c210106 1430 5607
c150855 1438 5943
c13773 1429 5307
c16649 1385 5379
c17676 1421 4311
c150939 1423 5931
c20489 1430 4095
c18837 1412 4455
c151946 1423 5547
c13545 1439 4011
c209784 1434 7671
c16254 1415 4251
c161420 1439 11007
c17091 1421 5463
c13974 1420 5439
c14406 1439 4779
c16622 1408 5235
c18137 1420 5115
c160572 1412 10839
c161417 1418 11019
c14666 1427 4251
c17664 1425 4239
c151499 1410 5379
c150998 1432 5463
c209986 1424 6675
c14241 1382 5091
c14398 1420 4755
c209971 1434 7479
c151044 1426 5523
c17844 1424 4455
c16677 1421 5271
c13566 1425 4611
c160864 1423 10767
c151076 1419 5487
c15941 1435 4611
c16002 1430 4887
c14096 1402 4827
c17725 1433 5319
c151029 1431 5547
c16678 1408 5391
c18158 1442 3867
c16816 1421 5391
c13774 1436 5343
c13916 1432 5391
c154831 1442 9747
c16539 1441 5307
c13598 1425 5475
c14392 1416 4815
c209804 1439 7779
c151801 1437 5739
c19123 1442 4239
c18130 1352 5103
c151585 1433 5631
c16715 1433 5499
c13944 1420 5235
c151962 1435 5667
c16469 1390 5403
c151930 1444 5583
c20912 1428 4299
c16468 1435 4635
c18159 1444 3879
c16502 1434 5271
c16508 1402 5403
c151389 1444 6123
c13565 1414 4551
c16010 1404 4935
c128686 1436 6699
c13917 1433 5175
c14307 1434 5115
c15700 1438 4227
c151856 1402 5619
c18905 1403 5211
c161893 1431 10815
c154772 1446 9783
c209796 1434 7371
c151925 1425 5595
c151970 1447 5511
c151791 1447 5715
c160597 1424 10827
c18176 1447 4467
c14431 1406 5031
c161888 1447 10779
c16285 1442 4347
c14229 1425 5259
c151636 1423 5379
c18140 1448 5151
c13544 1448 4155
c17675 1433 3975
c20914 1443 4215
c16700 1420 5247
c162671 1448 10851
c16063 1422 4551
c14676 1412 4167
c13551 1449 4119
c16019 1427 4791
c16004 1424 4935
c13919 1428 5235
c162626 1439 10623
c210540 1424 6171
c160878 1449 10587
c161390 1450 10983
c16643 1453 5151
c151975 1433 5595
c13688 1369 5103
c151052 1435 5487
c161658 1450 10695
c150938 1450 6039
c161669 1450 10599
c153863 1451 9975
c14335 1420 4023
c17244 1437 5415
c16659 1437 5163
c151924 1423 5559
c151638 1428 5439
c203192 1452 3963
c151006 1432 5451
c18147 1452 4851
c14438 1404 5043
c16985 1441 5175
c20929 1452 4239
c14854 1453 3879
c160608 1450 10803
c13993 1444 5499
c13900 1447 5271
c14416 1427 4803
c151919 1419 5619
c18178 1437 4479
c15938 1453 3843
c16696 1436 5235
c154454 1454 9723
c20481 1454 4299
c160696 1402 10863
c151001 1433 5679
c15884 1428 5079
c14862 1454 3855
c16339 1443 5439
c14311 1416 5295
c209995 1434 6627
c209800 1434 6459
c14227 1452 5175
c13965 1423 5331
c151528 1440 5691
c151489 1441 5523
c151960 1455 5547
c16356 1447 5451
c2959 1442 4551
c16548 1447 5367
c15523 1456 4695
c161673 1456 10647
c15863 1440 5079
c14087 1406 5091
c151232 1432 5775
c13775 1455 5271
c16681 1440 5391
c161764 1457 10743
c14420 1421 4983
c151691 1448 5691
c209749 1448 5679
c17669 1445 4095
c160526 1457 10731
c154320 1457 9843
c14084 1458 4899
c16026 1432 4923
c17832 1431 4659
c161716 1437 10935
c162103 1441 10839
c18120 1433 5043
c161741 1459 10659
c151035 1450 5487
c152065 1423 5427
c161911 1459 10839
c162111 1459 10671
c18048 1444 4023
c154360 1459 9603
c13696 1377 5103
c20500 1459 4275
c152066 1440 5571
c161421 1453 10971
c14660 1436 4767
c16264 1431 4263
c151113 1434 6171
c13694 1439 5283
c13597 1445 5355
c16292 1434 4515
c151021 1466 5487
c151385 1460 6087
c13680 1460 5055
c16496 1447 5319
c128685 1396 6759
c209795 1424 6507
c13588 1414 5403
c17071 1431 5331
c13678 1433 5199
c16648 1410 5211
c17030 1459 5319
c14434 1445 5079
c151417 1426 5619
c19118 1443 4263
c151313 1431 5559
c17105 1454 5307
c161391 1438 11019
c15942 1439 4515
c16013 1462 4587
c162041 1437 10995
c209762 1453 5391
c18221 1441 5199
c17052 1453 5355
c18220 1430 5223
c20487 1463 4179
c154411 1463 9759
c17759 1449 5259
c15697 1462 4143
c154536 1463 9519
